Table with row headers in column A and column headers in rows 4 through 6.  Leading dots indicate sub-parts.,Column 2,Column 3,Column 4,Column 6,Column 7,Column 8,Column 9,Column 10
West Virginia,Spruce Knob,4863.0,1483.215,Potomac River,240.0,73.0,1500.0,458.0
Wisconsin,Timms Hill,1951.0,595.0,Lake Michigan,579.0,177.0,1050.0,320.0
Wyoming,Gannett Peak,13804.0,4210.0,Belle Fourche River,3099.0,945.0,6700.0,2044.0
Other areas:,,,,,,,,
..Puerto Rico,Cerro de Punta,4390.0,1339.0,Atlantic Ocean,,,1800.0,549.0
..American Samoa,Lata Mountain,3160.0,964.0,Pacific Ocean,,,1300.0,397.0
..Guam,Mount Lamlam,1332.0,406.0,Pacific Ocean,,,330.0,101.0
..Virgin Islands,Crown Mountain,1556.0,475.0,Atlantic Ocean,,,750.0,229.0
SYMBOL:,,,,,,,,
Z Less than .5 meter.,,,,,,,,
FOOTNOTE:,,,,,,,,
\1 Sea level.,,,,,,,,
"Source: U.S. Geological Survey, for highest and lowest points, ""Elevations and Distances in the United States,"" April 2005.",,,,,,,,
"For mean elevations see, Elevations and Distances in the United States, 1983 edition.",,,,,,,,
For more information:,,,,,,,,
http://egsc.usgs.gov/isb/pubs/booklets/elvadist/elvadist.html,,,,,,,,
Internet release date: 09\30\2011,,,,,,,,
